id;name;ref;type;category;size_min;size_max;buy_date;image;image_content_type
1;yellow methodologies Leone;reboot;PAPER;WOMAN;1335;10062;2022-06-29;../fake-data/blob/hipster.png;image/png
2;indexing Concrete Shoes;up Electronics;PAPER;MAN;32636;61408;2022-06-29;../fake-data/blob/hipster.png;image/png
3;COM generating Coordinateur;Steel Assistant a;PDF;MAN;96486;83555;2022-06-29;../fake-data/blob/hipster.png;image/png
4;Handmade c Fantastic;red Ergonomic Grands;PDF;KIDS;90090;61042;2022-06-30;../fake-data/blob/hipster.png;image/png
5;Bike;Kwacha microchip invoice;PDF;KIDS;38376;42757;2022-06-30;../fake-data/blob/hipster.png;image/png
6;Champagne-Ardenne;Wooden;PDF;KIDS;96875;10742;2022-06-30;../fake-data/blob/hipster.png;image/png
7;Tools Granite;Tuna;PDF;WOMAN;10264;77299;2022-06-29;../fake-data/blob/hipster.png;image/png
8;cyan Towels 1080p;Account Ingenieur Extended;PAPER;WOMAN;87826;22501;2022-06-29;../fake-data/blob/hipster.png;image/png
9;regional a Generic;monitor payment;ONLINE;WOMAN;51472;11858;2022-06-30;../fake-data/blob/hipster.png;image/png
10;withdrawal Zealand;Poitou-Charentes;PDF;KIDS;51644;85449;2022-06-29;../fake-data/blob/hipster.png;image/png
