id;name;print_date;number;editor;language;price;image;image_content_type
1;world-class;2022-06-29;primary;INDEPTS;SPANISH;59641;../fake-data/blob/hipster.png;image/png
2;synergy withdrawal optical;2022-06-30;a markets;OTTOBRE;ENGLISH;70718;../fake-data/blob/hipster.png;image/png
3;a;2022-06-30;Salad;BURDA;FRENCH;92159;../fake-data/blob/hipster.png;image/png
4;Fresh;2022-06-30;Luxembourg Pound;INDEPTS;SPANISH;1801;../fake-data/blob/hipster.png;image/png
5;24/365 Rufiyaa Corse;2022-06-30;Checking b;LA_MAISON_VICTOR;ENGLISH;57554;../fake-data/blob/hipster.png;image/png
6;Directeur Intelligent;2022-06-29;Soap a;BURDA;ENGLISH;83489;../fake-data/blob/hipster.png;image/png
7;Upgradable leverage b;2022-06-30;Pound bleeding-edge c;BURDA;ENGLISH;98984;../fake-data/blob/hipster.png;image/png
8;e-commerce;2022-06-30;deploy Table;LA_MAISON_VICTOR;SPANISH;58936;../fake-data/blob/hipster.png;image/png
9;copying up;2022-06-30;Granite;OTTOBRE;FRENCH;13338;../fake-data/blob/hipster.png;image/png
10;online;2022-06-29;magenta neural-net;OTTOBRE;SPANISH;83900;../fake-data/blob/hipster.png;image/png
