id;name;ref;color;buy_size;type;buy_date;image;image_content_type
1;Auto Robust Public-key;SAS Checking;purple;Delesseux Rwanda;JERSEY;2022-06-30;../fake-data/blob/hipster.png;image/png
2;Cheese;de c;azure;Stagiaire;JERSEY;2022-06-30;../fake-data/blob/hipster.png;image/png
3;primary Checking;Île-de-France Bike;yellow;card haptic;SWEAT;2022-06-29;../fake-data/blob/hipster.png;image/png
4;Rustic Movies Borders;system;salmon;navigate methodologies Auto;MAILLE;2022-06-30;../fake-data/blob/hipster.png;image/png
5;schemas alarm;circuit Incredible;blue;indexing Intelligent Frozen;JERSEY;2022-06-29;../fake-data/blob/hipster.png;image/png
6;visionary knowledge Account;c synthesize;green;de;SWEAT;2022-06-30;../fake-data/blob/hipster.png;image/png
7;Fish;Bhoutan;pink;fuchsia;SWEAT;2022-06-30;../fake-data/blob/hipster.png;image/png
8;Nord-Pas-de-Calais SMTP;ubiquitous revolutionary;olive;mobile;MAILLE;2022-06-30;../fake-data/blob/hipster.png;image/png
9;Incredible monitor HTTP;Auvergne;plum;Metal sensor (E.M.U.-6);MAILLE;2022-06-30;../fake-data/blob/hipster.png;image/png
10;value-added Agent Sleek;asynchronous real-time benchmark;magenta;olive Palladium aggregate;JERSEY;2022-06-30;../fake-data/blob/hipster.png;image/png
